,x,y,x2,content
0,1,5,1,"sometimes the power of christmas will make you do wild and wonderful things you do not need to believe in the holy trinity to believe in the positive power of doing good for others the simple act of giving without receiving is lost on many of us these days as worries about money and success hold us back from giving to others who are in need one congregation in ohio was moved to action by the power of a sermon given at their church on christmas eve the pastor at grand lake united methodist church in celina ohio gave an emotional sermon about the importance of understanding the message of jesus
 
 for many religious people the message of jesus is to help others before yourself to make sure the people who are suffering get the help they need to enjoy life a little bit the sermon was really about generosity and what that can look like in our lives jesus lived a long time ago and he acted generously in the fashion of his time  but what would a generous act look like in our times that was the focus of the sermon
 
 the potency of the sermon was not lost on the congregation who were so moved they had to take action after the sermon ended the congregation decided to take an offering a bowl was passed around the room and everyone pitched in what they could on this christmas eve with the words of the sermon still ringing in their ears
 
 what did they do with this offering members of the congregation drove down to the local waffle house to visit the ladies working the night shift what a great choice on this most holy of days when everyone should be with their families
 
 the ladies working at waffle house clearly were not with their families they had no choice but to work on this holy day because it paid the bills the congregation understood the sacrifice being made by these ladies and wanted to help them out they donated the entire offering to be split amongst the ladies at waffle house
 
 in total that amounted to  NUM  being split amongst the staff what a beautiful moment what a perfect example of what the preacher was talking about in his sermon doing a good deed like this on christmas really helped ease the burden felt by the ladies working at waffle house sure they could not see their families but at least they got a little gift from the good people of their community
 
 perhaps the best part about this whole event was that the congregation did not ask anything in return it was a simple act of generosity from people who understood the pain being felt by another group and sought to alleviate some of that pain it speaks volumes about the merits of the church in our daily lives this simple act brought the entire community together because it showed empathy and compassion on the most special day of the year"
1,2,6,4,"awakening of  NUM  strands of dna  reconnecting with you movie
 
  of readers think this story is fact add your two cents
 
 headline bitcoin  blockchain searches exceed trump blockchain stocks are next
 
  DATE   NUM    URL 
 
 as miles johnston was giving update it was another case of strange synchronicities of goodness hidden inside of tests and trials like a follow the whiterabbit down the rabbit hole type of exercise
 
 in researching the  NUM  strands of dna we came across some articles one in particular was as a strange synchronicity written exactly 1 year ago on the same topic
 
  URL 
 
  URL 
 
 what are the  NUM  strands of our dna and why is a war against our dna
 
 trailer for awakening of  NUM  strands
 
 the full video is only available as a paid video on vimeo
 
 awakening of  NUM  strands  reconnecting with you
 
  URL 
 
 awakening of  NUM  strands  reconnecting with you from sandra daroy on vimeo
 
 we have not watched the full video but based on the strange synchronicities present within we suggest you use your discernment as always necessary in these end times
 
  URL 
 
 "
2,3,7,9,"never hike alone a friday the  NUM th fan film usa   NUM    NUM  min a fan tribute to friday the  NUM th never hike alone follows an adventure
 
 never hike alone a friday the  NUM th fan film usa   NUM    NUM  min
 
 
 
 a fan tribute to friday the  NUM th never hike alone follows an adventure blogger kyle mcleod andrew leighty who uncovers the long lost remains of camp crystal lake while on a solo backpacking trip
 
 ignoring the campfire tales from his childhood kyles search turns deadly when he makes the grave mistake of crossing the path of camp bloods legendary mass murderer jason voorhees
 
 stranded in the forest with jason on his heels kyle must push his survival skills to their limits if he hopes to survive the night
 
 otherwise hell wind up as another lost victim of the cursed camp
 
 
 
 directed by
 
 vincente disanti
 
 
 
 screenplay by
 
 vincente disanti and nathan mcleod
 
 
 
 based on characters created by
 
 sean cunningham
 
 victor miller
 
 ron kurtz
 
 
 
 starring
 
 andrew leighty as kyle mcleod
 
 vincente disanti as jason voorhees
 
 
 
 executive producers
 
 barry jay stitch
 
 carolyn gair
 
 sarah disanti
 
 
 
 producers
 
 kyle klein
 
 daniel evans
 
 matthew barrett
 
 
 
 coproducers
 
 steven squillante
 
 christopher thellas
 
 alexander thellas
 
 
 
 associate producers
 
 cody cameron
 
 christian ascencio
 
 lydia ascencio
 
 lynn hobson
 
 rene rivas
 
 mike whelan
 
 
 
 directors of photography
 
 christopher thellas
 
 jd
 
 martz
 
 
 
 production designer
 
 brittany porter
 
 
 
 special make up effects
 
 kelsey berk
 
 
 
 wardrobe
 
 stephen boydmorales
 
 
 
 stunts
 
 jessica bennett
 
 bryan forrest as jason voorhees
 
 donny nichols as kyle mcleod
 
 
 
 film editing by
 
 lawrence gan
 
 sarah disanti
 
 
 
 unit stills photography
 
 ashly covington
 
 
 
 music by
 
 ryan perezdaple
 
 
 
 run like hell
 
 written by vincente disanti jake gonsalves lenny machado
 
 performed by gonsalves machado
 
 recorded at elm street studios new bedford ma  NUM 
 
 appears courtesy of damn enchiladas
 
 
 
 another soul
 
 written and performed by trevor vaughan
 
 appears on finally salao mix tape
 
 recorded at the colosseum new bedford ma  NUM 
 
 appears courtesy of trevor vaughan  mass glory records
 
 
 
 
 
 for additional cast and crew visit  URL 
 
 
 
  URL 
 
 
 
 disclaimer
 
 
 
 this production is the effort of womp stomp films llc and its volunteer associates
 
 never hike alone is a product of fan fiction and in no way affiliated with or a representative of the viacomparamount film company warner brothers new line cinema horror inc the friday the  NUM th film property or its characters
 
 
 
 
 
 this project was created by fans for fans to show appreciation for the friday the  NUM th franchise
 
 as of friday the  NUM th  DATE  this project will be made free and available to all who care to watch it
 
 no profit shall be made off its viewing
 
 
 
 
 
 thank you to any and all who assisted in bringing the project to life
 
 womp stomp films is forever grateful for your time and dedication to the project
 
 
 
 thank you for watching"
3,4,8,16,"when a rare shark was caught scientists were left blundering for answers this shark has a unique feature and its not that it can survive at extreme depths or live for an extended period of time this sharks unique trait is that it can extend its jaw in a telescoping fashion beyond its mouth if youve ever seen the hit science fiction movie alien this shark is that monster made manifest on earth this shark stalks its prey and then lashes out with its telescoping teeth to snatch large fish and swallow them in one bite its a deadly predator of the deep sea
 
 besides its telescoping teeth this shark can glow in the dark and was only recently discovered back in  NUM  in the three decades since it was first found just a select few of this exotic shark species have been found
 
 but during a routine survey in the donghe township in taiwan the countrys fisheries research institute found five of these horrifying deepsea sharks
 
 the team was notably horrified and described the most obvious feature are the needleshaped teeth like snakelike fangs this is also the origin of viper shark name
 
 thats right this beast is called the viper shark and as you can tell by its name it is ferocious with its prey
 
 although researchers have gotten their hands on a few of these animals little is known about them but researchers think these creatures swim between  NUM  NUM  meters under the surface of the ocean during the day to  NUM  meters below at night could this be because of temperature changes or is it something to do with light
 
