authors_id,article_id
59,6045
30,23066
101,27309
24,2350
14,15468
0,18953
51,26150
34,26150
118,26150
80,32950
7,11239
1,11239
19,11239
90,24998
3,1685
39,21458
81,2736
47,22794
100,5590
117,26617
68,14967
110,22567
11,38042
91,7283
41,22078
86,27128
133,12075
22,20631
25,20631
9,11896
49,33782
131,20749
89,29286
61,11593
21,24401
64,24398
87,15730
32,6207
42,22228
111,34573
93,17247
45,5967
119,9101
125,17495
15,1422
10,23985
63,21140
13,20034
58,39208
65,23396
56,1771
102,8308
57,39477
71,9272
40,15029
26,13437
79,13437
75,33458
60,33458
129,24915
104,28544
123,28544
73,28544
122,24937
82,10417
55,22583
67,26057
12,1920
106,1920
77,1920
18,1920
128,1920
48,1920
5,30562
96,36296
23,6375
112,2928
27,10186
113,29683
43,8792
4,9757
62,768
16,38616
36,30453
114,5934
70,17100
134,39550
126,3251
103,38736
37,32995
109,28983
92,791
120,3160
29,19639
95,19639
124,19639
28,19639
72,19582
97,18811
53,19688
132,19547
88,39468
76,14973
20,9659
78,141
98,11960
50,21523
85,27885
52,15764
99,29553
33,29832
54,9320
84,899
44,899
83,899
121,899
38,899
105,899
115,899
107,899
94,899
74,35661
108,10657
31,22541
35,7895
17,33402
6,256
66,11504
116,33698
130,27272
8,27272
46,27272
2,37647
69,3399
127,5524
