id,name
0,
1,Auto Industry
2,Paris
3,Rex Tillerson
4,TPP
5,INF Treaty
6,ISIS
7,Hillary Clinton
8,Malcolm Turnbull
9,hillary clinton emails
10,slams
11,Permission marketing
12,antonio sabato jr
13,irradiated milk
14,National Defense Authorization Act
15,President
16,Terrorism
17,Alabama
18,Australia
19,Hamas
20,fake news
21,donald trump
22,College
23,sthole countries
24,Supreme Court
25,haiti
26,Spain
27,president
28,Chris Christie
29,Campaigns
30,Health food products
31,Opinion
32,Naomi Lim
33,Education
34,Tom Rogan
35,Nuclear Weapons
36,kombucha
37,Israel
38,Dream Act
39,Immigration
40,Magazine
41,Libya
42,Palestinian Authority
43,NBC
44,Books
45,reasons
46,foods
47,Betsy DeVos
48,mark levin
49,lactose intolerance
50,trump
51,Bankruptcy
52,oprah winfrey
53,Canada
54,Super PACs
55,Socialism
56,Portugal
57,africa
58,Syria
59,Campus Speech Codes
60,david letterman
61,michael hayden
62,Big Government
63,United Kingdom
64,Teachers Unions
65,Beltway Confidential
66,barack obama
67,protection
68,Washington Examiner Staff
69,department of justice
70,addiction epidemic
71,dairy
72,Ben Cardin
73,Vladimir Putin
74,NaturalNews
75,New York Times
76,prescription
77,Clinton Foundation
78,Fake News
79,probiotic
80,The Pentagon
81,Middle East
82,Social Media
83,probiotics
84,Trump
85,books on trump
86,FDA
87,president trump
88,Nicolas Maduro
89,Joel Gehrke
90,White House
91,Red Alert Politics
92,calls
93,Chuck Schumer
94,Twitter
95,NDAA
96,opioids
97,Foreign Policy
98,Byron York
99,Venezuela
100,France
101,daca
102,journalists
103,Insurance Industry
104,Media
105,Kombucha
106,Susan Ferrechio
107,Tom Tancredo
108,Sarah Westwood
109,Senate
110,Benghazi Select Committee
111,Benghazi
112,Russia
113,Jason Russell
114,Philadelphia
115,el salvador
116,daily beast
117,golden globes
118,investigation
119,Germany
120,bacteria
121,Conservative Newspaper
122,Fukushima
123,Jeff Sessions
124,State Department
125,Justice Department
126,2016 Elections
127,reuters
128,School Vouchers
129,Journalists
130,netflix
131,Watchdog
132,vote trump
133,salvadorans
134,blamed
135,apple cider vinegar
136,drug
137,Cold War
138,government shutdown
139,United Nations
140,Continuing Resolution
141,vdare.com
142,National Security
143,Bill Clinton
144,Ethanol
145,Congress
146,cruel
147,milk
148,2020
149,Barack Obama
150,Senate Foreign Relations
151,release
152,bill clinton
153,Kelly Cohen
154,osteoporosis
155,chuck schumer
156,Missouri
157,History
158,Big Pharma
159,god and donald trump
160,Philip Wegmann
161,Teachers
162,Palestinians
163,Gabby Morrongiello
164,United States
165,blog
166,Energy and Environment
167,Donald Trump
168,tom perez
169,Conservative News
170,South America
171,Anna Giaritelli
172,Food and Drink
173,Politics
174,health
175,Law
176,myanmar
177,School Choice
178,Government Shutdown
179,GAO
180,Blog Contributors
181,Refugees
182,News
183,food
184,Campus Free Speech
185,Becket Adams
186,Spending
